method,spot,districtid
neighborhood,cold,101
neighborhood,hot,102
state,hot,102
neighborhood,hot,103
state,hot,103
neighborhood,cold,104
neighborhood,cold,105
state,hot,105
neighborhood,cold,106
state,hot,106
neighborhood,cold,107
neighborhood,cold,108
state,hot,108
neighborhood,hot,109
state,hot,109
neighborhood,cold,110
neighborhood,cold,111
neighborhood,cold,112
neighborhood,hot,113
state,hot,113
neighborhood,cold,114
state,hot,114
neighborhood,cold,115
neighborhood,cold,116
state,hot,116
neighborhood,cold,117
neighborhood,cold,118
neighborhood,hot,119
state,hot,119
neighborhood,cold,120
neighborhood,cold,121
neighborhood,hot,122
state,hot,122
neighborhood,cold,123
state,hot,123
neighborhood,cold,124
neighborhood,cold,125
neighborhood,cold,126
neighborhood,hot,127
state,hot,127
neighborhood,cold,128
neighborhood,cold,129
neighborhood,cold,130
state,cold,130
neighborhood,cold,131
neighborhood,hot,132
state,hot,132
neighborhood,cold,133
neighborhood,cold,134
neighborhood,cold,135
neighborhood,hot,136
state,hot,136
neighborhood,cold,137
state,hot,137
neighborhood,cold,138
state,hot,138
neighborhood,cold,139
state,cold,139
neighborhood,cold,140
state,cold,140
neighborhood,cold,141
neighborhood,cold,142
neighborhood,cold,143
state,hot,143
neighborhood,cold,144
state,hot,144
neighborhood,cold,145
state,hot,145
neighborhood,hot,146
state,hot,146
neighborhood,cold,147
state,hot,147
neighborhood,cold,148
state,hot,148
neighborhood,cold,149
state,hot,149
neighborhood,cold,150
neighborhood,cold,151
neighborhood,cold,152
neighborhood,hot,153
state,cold,153
neighborhood,cold,154
state,hot,154
neighborhood,cold,155
state,hot,155
neighborhood,cold,156
neighborhood,cold,157
neighborhood,cold,158
state,hot,158
neighborhood,cold,159
state,hot,159
neighborhood,cold,160
neighborhood,hot,161
state,hot,161
neighborhood,hot,162
neighborhood,cold,163
state,hot,163
neighborhood,cold,164
neighborhood,cold,165
state,hot,165
neighborhood,cold,166
neighborhood,cold,167
state,hot,167
neighborhood,hot,168
neighborhood,cold,169
neighborhood,cold,170
state,hot,170
neighborhood,cold,171
state,hot,171
neighborhood,cold,172
neighborhood,hot,173
state,hot,173
neighborhood,cold,174
neighborhood,cold,175
neighborhood,cold,176
state,hot,176
neighborhood,hot,177
state,hot,177
neighborhood,cold,178
neighborhood,cold,179
state,hot,179
neighborhood,cold,180
neighborhood,cold,181
neighborhood,cold,182
neighborhood,cold,183
neighborhood,cold,184
neighborhood,cold,185
state,cold,185
neighborhood,hot,186
state,hot,186
neighborhood,cold,187
state,hot,187
neighborhood,cold,188
neighborhood,cold,189
neighborhood,cold,190
state,hot,190
neighborhood,hot,191
state,hot,191
neighborhood,cold,192
neighborhood,cold,193
neighborhood,hot,194
neighborhood,cold,195
neighborhood,cold,196
state,cold,196
neighborhood,cold,197
neighborhood,cold,198
state,hot,198
neighborhood,cold,199
state,hot,199
neighborhood,cold,200
neighborhood,cold,201
neighborhood,cold,202
neighborhood,cold,203
state,cold,203
neighborhood,cold,204
neighborhood,cold,205
state,hot,205
neighborhood,cold,206
neighborhood,cold,207
state,cold,207
neighborhood,cold,208
neighborhood,cold,209
neighborhood,hot,210
state,hot,210
neighborhood,cold,211
neighborhood,cold,212
state,hot,212
neighborhood,cold,213
state,cold,213
neighborhood,cold,214
neighborhood,hot,215
state,hot,215
neighborhood,cold,216
neighborhood,cold,217
neighborhood,cold,218
neighborhood,cold,219
state,hot,219
neighborhood,cold,220
neighborhood,cold,221
neighborhood,cold,222
neighborhood,hot,223
state,hot,223
neighborhood,cold,224
state,hot,224
neighborhood,cold,225
neighborhood,hot,226
state,hot,226
neighborhood,cold,227
neighborhood,hot,228
state,hot,228
neighborhood,cold,229
state,hot,229
neighborhood,cold,230
state,hot,230
neighborhood,hot,231
neighborhood,cold,232
neighborhood,hot,233
neighborhood,hot,234
state,hot,234
neighborhood,hot,235
state,hot,235
neighborhood,cold,236
neighborhood,cold,237
neighborhood,cold,238
state,hot,238
neighborhood,hot,239
neighborhood,cold,240
neighborhood,cold,241
neighborhood,cold,242
state,hot,242
neighborhood,hot,243
state,hot,243
